"Date","home","away","Home Score","Away Score","result","Tries scored H","Tries scored A","Neutral venue","Crowds"
2009-04-04,"Leicester Tigers","Sale Sharks",37,31,"Home",NA,NA,0,1
2009-04-05,"Wasps","Newcastle Falcons",12,6,"Home",NA,NA,0,1
2009-04-17,"Sale Sharks","Harlequins",28,6,"Home",NA,NA,0,1
2009-04-18,"Northampton Saints","London Irish",21,17,"Home",NA,NA,0,1
2009-04-19,"Saracens","Leicester Tigers",13,16,"Away",NA,NA,0,1
2009-04-19,"Bristol","Wasps",18,36,"Away",NA,NA,0,1
2009-04-19,"Newcastle Falcons","Bath",14,15,"Away",NA,NA,0,1
2009-04-21,"Gloucester","Worcester Warriors",6,13,"Away",NA,NA,0,1
2009-04-25,"Worcester Warriors","London Irish",15,32,"Away",NA,NA,0,1
2009-04-25,"Wasps","Gloucester",34,3,"Home",NA,NA,0,1
2009-04-25,"Sale Sharks","Northampton Saints",24,18,"Home",NA,NA,0,1
2009-04-25,"Leicester Tigers","Bristol",73,3,"Home",NA,NA,0,1
2009-04-25,"Harlequins","Newcastle Falcons",31,12,"Home",NA,NA,0,1
2009-04-25,"Bath","Saracens",33,18,"Home",NA,NA,0,1
2009-05-09,"Leicester Tigers","Bath",24,10,"Home",NA,NA,0,1
2009-05-09,"Harlequins","London Irish",0,17,"Away",NA,NA,0,1
2009-05-16,"Leicester Tigers","London Irish",10,9,"Home",NA,NA,1,1
2009-09-04,"Sale Sharks","Leicester Tigers",15,12,"Home",NA,NA,0,1
2009-09-05,"Saracens","London Irish",18,14,"Home",NA,NA,0,1
2009-09-05,"Wasps","Harlequins",26,15,"Home",NA,NA,0,1
2009-09-06,"Northampton Saints","Worcester Warriors",20,17,"Home",NA,NA,0,1
2009-09-06,"Yorkshire","Newcastle Falcons",9,9,"Draw",NA,NA,0,1
2009-09-06,"Gloucester","Bath",24,5,"Home",NA,NA,0,1
2009-09-11,"Worcester Warriors","Yorkshire",27,7,"Home",NA,NA,0,1
2009-09-12,"Bath","Wasps",15,17,"Away",NA,NA,0,1
2009-09-12,"Saracens","Northampton Saints",19,16,"Home",NA,NA,0,1
2009-09-12,"Harlequins","Leicester Tigers",9,15,"Away",NA,NA,0,1
2009-09-13,"Newcastle Falcons","Sale Sharks",16,16,"Draw",NA,NA,0,1
2009-09-13,"London Irish","Gloucester",40,10,"Home",NA,NA,0,1
2009-09-18,"Sale Sharks","Bath",12,25,"Away",NA,NA,0,1
2009-09-19,"Harlequins","Saracens",9,22,"Away",NA,NA,0,1
2009-09-19,"Gloucester","Northampton Saints",14,27,"Away",NA,NA,0,1
2009-09-19,"Leicester Tigers","Newcastle Falcons",15,6,"Home",NA,NA,0,1
2009-09-20,"Yorkshire","London Irish",7,56,"Away",NA,NA,0,1
2009-09-20,"Wasps","Worcester Warriors",23,3,"Home",NA,NA,0,1
2009-09-25,"Newcastle Falcons","Harlequins",17,17,"Draw",NA,NA,0,1
2009-09-26,"Worcester Warriors","Sale Sharks",24,18,"Home",NA,NA,0,1
2009-09-26,"Northampton Saints","Yorkshire",30,10,"Home",NA,NA,0,1
2009-09-26,"Bath","Leicester Tigers",20,20,"Draw",NA,NA,0,1
2009-09-27,"Saracens","Gloucester",19,16,"Home",NA,NA,0,1
2009-09-27,"London Irish","Wasps",28,16,"Home",NA,NA,0,1
2009-10-02,"Sale Sharks","London Irish",8,11,"Away",NA,NA,0,1
2009-10-03,"Leicester Tigers","Worcester Warriors",19,14,"Home",NA,NA,0,1
2009-10-03,"Harlequins","Bath",13,11,"Home",NA,NA,0,1
2009-10-04,"Yorkshire","Gloucester",10,26,"Away",NA,NA,0,1
2009-10-04,"Wasps","Northampton Saints",20,15,"Home",NA,NA,0,1
2009-10-04,"Newcastle Falcons","Saracens",15,22,"Away",NA,NA,0,1
2009-10-24,"Bath","Newcastle Falcons",16,27,"Away",NA,NA,0,1
2009-10-24,"Worcester Warriors","Harlequins",22,26,"Away",NA,NA,0,1
2009-10-24,"Northampton Saints","Sale Sharks",21,16,"Home",NA,NA,0,1
2009-10-24,"London Irish","Leicester Tigers",18,12,"Home",NA,NA,0,1
2009-10-24,"Gloucester","Wasps",6,35,"Away",NA,NA,0,1
2009-10-25,"Saracens","Yorkshire",21,15,"Home",NA,NA,0,1
2009-10-30,"Sale Sharks","Gloucester",28,23,"Home",NA,NA,0,1
2009-10-31,"Bath","Saracens",11,12,"Away",NA,NA,0,1
2009-10-31,"Harlequins","London Irish",9,9,"Draw",NA,NA,0,1
2009-10-31,"Leicester Tigers","Northampton Saints",29,15,"Home",NA,NA,0,1
2009-11-01,"Wasps","Yorkshire",9,15,"Away",NA,NA,0,1
2009-11-01,"Newcastle Falcons","Worcester Warriors",14,3,"Home",NA,NA,0,1
2009-11-20,"Gloucester","Leicester Tigers",12,9,"Home",NA,NA,0,1
2009-11-20,"Worcester Warriors","Bath",12,12,"Draw",NA,NA,0,1
2009-11-21,"Northampton Saints","Harlequins",26,17,"Home",NA,NA,0,1
2009-11-22,"Yorkshire","Sale Sharks",17,24,"Away",NA,NA,0,1
2009-11-22,"Saracens","Wasps",22,6,"Home",NA,NA,0,1
2009-11-22,"London Irish","Newcastle Falcons",11,15,"Away",NA,NA,0,1
2009-11-27,"Worcester Warriors","Saracens",12,12,"Draw",NA,NA,0,1
2009-11-27,"Newcastle Falcons","Northampton Saints",8,28,"Away",NA,NA,0,1
2009-11-28,"Leicester Tigers","Yorkshire",39,6,"Home",NA,NA,0,1
2009-11-28,"Harlequins","Gloucester",35,29,"Home",NA,NA,0,1
2009-11-28,"Bath","London Irish",0,16,"Away",NA,NA,0,1
2009-12-04,"Yorkshire","Harlequins",27,30,"Away",NA,NA,0,1
2009-12-05,"Northampton Saints","Bath",15,13,"Home",NA,NA,0,1
2009-12-05,"London Irish","Worcester Warriors",16,16,"Draw",NA,NA,0,1
2009-12-05,"Gloucester","Newcastle Falcons",25,13,"Home",NA,NA,0,1
2009-12-05,"Saracens","Sale Sharks",15,13,"Home",NA,NA,0,1
2009-12-06,"Wasps","Leicester Tigers",24,22,"Home",NA,NA,0,1
2009-12-26,"Worcester Warriors","Northampton Saints",6,26,"Away",NA,NA,0,1
2009-12-27,"Leicester Tigers","Sale Sharks",32,6,"Home",NA,NA,0,1
2009-12-27,"Bath","Gloucester",24,8,"Home",NA,NA,0,1
2009-12-27,"Newcastle Falcons","Yorkshire",15,16,"Away",NA,NA,0,1
2009-12-27,"London Irish","Saracens",23,19,"Home",NA,NA,0,1
2009-12-27,"Harlequins","Wasps",20,21,"Away",NA,NA,0,1
2010-01-01,"Sale Sharks","Harlequins",21,16,"Home",NA,NA,0,1
2010-01-02,"Yorkshire","Bath",15,20,"Away",NA,NA,0,1
2010-01-02,"Saracens","Leicester Tigers",15,22,"Away",NA,NA,0,1
2010-01-02,"Northampton Saints","London Irish",24,22,"Home",NA,NA,0,1
2010-01-02,"Gloucester","Worcester Warriors",13,13,"Draw",NA,NA,0,1
2010-01-03,"Wasps","Newcastle Falcons",6,12,"Away",NA,NA,0,1
2010-01-09,"Leicester Tigers","Wasps",34,8,"Home",NA,NA,0,1
2010-02-13,"Saracens","Worcester Warriors",25,20,"Home",NA,NA,0,1
